"","Time","Month","Year","predicted_RECO","Daily_NEE","Daily_RECO_temp","Daily_RECO_flux","Daily_resi_temp","Daily_EF","Total_Randunc","Daily_P"
"606",2012-10-03,10,2012,1.35908611879808,1.269038,0.978821590763176,0.9938892,0.290216409236824,0.146483789464903,0.0898720189135123,0
"607",2012-10-04,10,2012,1.33498818179618,1.1435185,0.954764571023447,0.9574502,0.188753928976554,0.147892045177969,0.0806130102133493,0
"608",2012-10-05,10,2012,NA,0.974486,0.947827631367709,1.01256066666667,0.0266583686322907,0.219476913746757,0.114023089175466,0.0385833333333333
"609",2012-10-06,10,2012,NA,0.5442964,0.81878204077219,0.854747,-0.27448564077219,0.246010933181464,0.10961043723829,0.0155833333333333
"610",2012-10-07,10,2012,NA,0.381234733333333,0.582040700287358,0.729328,-0.200805966954025,0.175109814194206,0.140583367037572,0
"611",2012-10-08,10,2012,1.10950029032821,0.9193702,0.72998400030292,0.799743,0.18938619969708,0.172236012262277,0.119282380647337,0
"612",2012-10-09,10,2012,1.10433822028747,1.02286033333333,0.723182706841825,0.657942888888889,0.299677626491508,0.115818607381892,0.128323918530988,0
"613",2012-10-10,10,2012,NA,-0.213826765555556,0.415647066819168,0.449476666666667,-0.629473832374724,0.249242810959603,0.123912271005869,0.0966875
"614",2012-10-11,10,2012,0.763496723587603,0.550292291052632,0.386757529063659,0.518387578947368,0.163534761988973,0.267815735774057,0.127575864885123,0.0592708333333333
"615",2012-10-12,10,2012,NA,0.465786875,0.629707795099334,0.584899125,-0.163920920099334,0.164291793471466,0.118560680441971,0
"616",2012-10-13,10,2012,NA,0.4467585,0.465114169667523,0.461782,-0.018355669667523,0.170401166350563,0.139233653510936,0
"617",2012-10-14,10,2012,1.22628313472216,1.26171366875,0.846104414690219,0.8078104375,0.415609254059781,0.14943705671638,0.0799405082178819,0
"618",2012-10-15,10,2012,NA,0.652592555555556,0.919107713416906,0.824159777777778,-0.26651515786135,0.222950682664067,0.0782471085684295,0
"619",2012-10-16,10,2012,NA,0.3340211,0.840147501767781,0.717922714285714,-0.506126401767781,0.270987847086862,0.0960325724808466,0.00675
"620",2012-10-17,10,2012,1.01437987528069,1.02296275,0.63488138039774,0.6515685,0.38808136960226,0.172848470416452,0.137762438718459,0
"621",2012-10-18,10,2012,1.2895933644469,1.43506954210526,0.911733534494449,1.04315310526316,0.523336007610815,0.229246653665685,0.128613390016735,0
"622",2012-10-19,10,2012,NA,0.691154764705882,0.910010963700959,0.782485176470588,-0.218856198995076,0.13870774707058,0.0918500956009169,0
"623",2012-10-20,10,2012,NA,0.410370357142857,0.715176131554516,0.767937214285714,-0.304805774411659,0.243693398375818,0.124925614996409,0.02125
"624",2012-10-21,10,2012,NA,0.57281439,0.672828629623305,0.676873466666667,-0.100014239623305,0.14652453579431,0.129319770712423,0
"625",2012-10-22,10,2012,NA,0.38543219047619,0.549522718975016,0.668091952380952,-0.164090528498826,0.163077215480841,0.142934930690706,0
"626",2012-10-23,10,2012,NA,0.73299985,0.625204152460446,0.7042257,0.107795697539554,0.256721648024903,0.122876737694875,0
"627",2012-10-24,10,2012,0.997661868605123,1.23590146666667,0.621280244224264,0.566466,0.614621222442402,0.280122282450469,0.118215762480839,0
"628",2012-10-25,10,2012,NA,0.446153784615385,0.496753676330361,0.413032461538462,-0.0505998917149761,0.169661045129264,0.131138217813258,0
"629",2012-10-26,10,2012,NA,0.338932235294118,0.412094669079466,0.396385823529412,-0.0731624337853481,0.149132435356348,0.122098066293047,0
"630",2012-10-27,10,2012,NA,0.359777733333333,0.464054963723981,0.430451,-0.104277230390648,0.127044182573233,0.116623919241234,0
"631",2012-10-29,10,2012,NA,-2.85086333333333,0.461918707658223,0.428132333333333,-3.31278204099156,0.115270303444964,0.107981022560818,0
"632",2012-10-30,10,2012,0.764613534461358,0.978641977777778,0.383483441230977,0.551058,0.595158536546801,0.116693498844873,0.115961473929246,0
"633",2012-10-31,10.3636363636364,2012,0.744153496881446,0.603939363636364,0.365205950431144,0.632295636363636,0.23873341320522,0.191810547462891,0.101628707721036,0.0356666666666667
"634",2012-11-01,11,2012,NA,0.308343982352941,0.359626858643085,0.475868941176471,-0.0512828762901438,0.216544124085195,0.115513564139795,0.001625
"635",2012-11-02,11,2012,0.914486831476547,0.718517857142857,0.534552784267711,0.664112714285714,0.183965072875146,0.157857998946232,0.119449238811007,0
"636",2012-11-03,11,2012,NA,0.30055575,0.823149468669989,0.802372555555556,-0.522593718669989,0.179409605085171,0.138262893672362,0
"637",2012-11-04,11,2012,1.56628810166104,1.744544,1.18689844023393,1.16256866666667,0.557645559766071,0.17659420822512,0.0919704530134,0
"638",2012-11-05,11,2012,1.03908175015265,1.04333343333333,0.676952131461876,0.827268666666667,0.366381301871457,0.770635756937127,0.0915327206500841,0.1175625
"639",2012-11-06,11,2012,NA,0.8269903125,0.712338361513083,0.8031269375,0.114651950986917,0.389607632506255,0.123442138413372,0.0328958333333333
"640",2012-11-07,11,2012,NA,0.8106666,0.835554304170567,0.8135467,-0.0248877041705665,0.196257782273457,0.119293749432333,0
"641",2012-11-08,11,2012,NA,0.832639625,0.798803643811871,0.758907875,0.0338359811881294,0.146707814066067,0.117699396266488,0
"642",2012-11-09,11,2012,NA,0.562857071428571,0.667139157815645,0.640999357142857,-0.104282086387074,0.129159801143151,0.116664818428602,0
"643",2012-11-10,11,2012,NA,0.4688146,0.560039542018546,0.6005946,-0.0912249420185458,0.130769174479345,0.114339184728967,0
"644",2012-11-11,11,2012,1.16763694847454,0.993766222222222,0.787841427780005,0.820664277777778,0.205924794442217,0.162625687320429,0.102641140588872,0.0020625
"645",2012-11-12,11,2012,NA,0.524117470588235,0.671244757357539,0.626180529411765,-0.147127286769304,0.12381024134435,0.106892990611151,0.00410416666666667
"646",2012-11-13,11,2012,1.02466247861187,1.1675315,0.644570456873494,0.660221333333333,0.522961043126506,0.152420965236679,0.123232005666859,0
"647",2012-11-15,11,2012,0.805043290770857,0.826172333333333,0.427405850276481,0.584366833333333,0.398766483056852,0.236900665889798,0.109230848401274,0.00374468085106383
"648",2012-11-16,11,2012,NA,0.522301642857143,0.573998841200342,0.572035142857143,-0.0516971983431987,0.138383369341825,0.112278732292782,0
"649",2012-11-17,11,2012,NA,0.502148066666667,0.514013919318213,0.4890944,-0.0118658526515463,0.127561461707703,0.103166589540552,0
"650",2012-11-18,11,2012,0.931676588665875,0.7351855,0.550502028529363,0.5080214,0.184683471470637,0.11516307448917,0.10535840304893,0
"651",2012-11-19,11,2012,NA,0.409455352941176,0.445367901094121,0.535260470588235,-0.0359125481529449,0.153053195990138,0.107355494180877,0
"652",2012-11-20,11,2012,NA,0.178973276923077,0.45997469745636,0.571829461538461,-0.281001420533283,0.171641057306526,0.111452462688477,0.00266666666666667
"653",2012-11-21,11,2012,NA,0.54015425,0.494732906415541,0.51921025,0.0454213435844586,0.102443234315231,0.121350048399601,0
"654",2012-11-22,11,2012,NA,0.21426,0.518373839580735,0.60811775,-0.304113839580735,0.119250417241761,0.105951040327691,0
"655",2012-11-23,11,2012,NA,0.868754045454545,0.783646824687306,0.835314454545454,0.0851072207672395,0.149602139077659,0.121795135604647,0
"656",2012-11-24,11,2012,NA,0.838583941176471,0.833302036592643,0.907064352941176,0.00528190458382771,0.198564039714427,0.09363983581836,0
"657",2012-11-26,11,2012,NA,1.13055666666667,1.34629737896903,1.34405833333333,-0.215740712302368,0.250066472320421,0.0855323625507784,0.0104166666666667
"658",2012-11-27,11,2012,NA,1.16979872727273,1.27615261469363,1.26252545454545,-0.106353887420906,0.270244168948971,0.117137718968748,0
"659",2012-11-29,11,2012,NA,2.27108346153846,1.58291825714399,1.50309769230769,0.688165204394475,0.245824617890668,0.101874602453561,0.00264583333333333
"660",2012-12-01,12,2012,NA,1.25797927272727,0.964998238090918,1.11154045454545,0.292981034636355,0.503027247451004,0.0924837871458786,0.0191666666666667
"661",2012-12-02,12,2012,NA,1.021889,1.32279750353662,1.046022,-0.300908503536623,0.291927712251291,0.100075423380221,0
"662",2012-12-03,12,2012,NA,0.942058666666667,1.38881112546968,1.04337011111111,-0.446752458803016,0.159048327146388,0.0942517153307379,0
"663",2012-12-05,12,2012,NA,0.857037,1.05812821348605,0.92237225,-0.201091213486046,0.143310100154345,0.0878914173973959,0
"664",2012-12-06,12,2012,NA,0.776913666666667,0.926081797266815,1.02155322222222,-0.149168130600149,0.116435195395684,0.0874298088937664,0
"665",2012-12-07,12,2012,NA,1.6219262,1.18101253566098,1.17885666666667,0.440913664339022,0.150814313511472,0.0871568380448819,0
"666",2012-12-08,12,2012,NA,0.49069955,0.911028999946919,0.805321222222222,-0.420329449946919,0.187366718701839,0.0715407308819841,0
"667",2012-12-09,12,2012,NA,0.716797058823529,0.800781094285148,0.781081235294118,-0.0839840354616187,0.133278268584465,0.0846619210871158,0
"668",2012-12-10,12,2012,NA,1.02876533333333,0.804248066323693,0.91943,0.22451726700964,0.128891845763704,0.0898037295855755,0
"669",2012-12-11,12,2012,NA,1.07576211111111,1.53497882547184,1.18270222222222,-0.459216714360724,0.0910532513473865,0.0947782952841299,0
"670",2012-12-12,12,2012,NA,1.03473277777778,1.42272299900388,1.18710333333333,-0.387990221226103,0.155884045351643,0.0736939926710972,0
"671",2012-12-13,12,2012,NA,1.168023,1.20219095692251,1.17032333333333,-0.0341679569225066,0.209081563990018,0.072036378252242,0
"672",2012-12-14,12,2012,2.12836387371727,1.91255194444444,0.770074880544466,1.03564944444444,1.14247706389998,0.564822209138999,0.0769170337892726,0.0500625
"673",2012-12-15,12,2012,NA,0.3776852125,0.776367176810161,0.9597205,-0.398681964310161,0.404611732561332,0.09450978257322,0.0162708333333333
"674",2012-12-16,12,2012,NA,0.7054814,0.799427005295002,0.8934842,-0.0939456052950017,0.207361018556416,0.0963649244651544,0
"675",2012-12-17,12,2012,NA,1.261234,0.785777757837268,0.947743666666667,0.475456242162732,0.142975390261512,0.0913185240798229,0
"676",2012-12-18,12,2012,NA,0.807322230769231,0.76014949370845,0.978431615384615,0.0471727370607804,0.138575655790906,0.106610115039859,0
"677",2012-12-19,12,2012,NA,0.714021857142857,0.868679738849769,0.799828428571429,-0.154657881706911,0.0914810672244764,0.0829721841643174,0
"678",2012-12-20,12,2012,NA,0.725185166666667,0.795652235230354,0.743397166666667,-0.070467068563687,0.198366617372126,0.0918056436181501,0
