"","Time","Month","Year","predicted_RECO","Daily_NEE","Daily_RECO_temp","Daily_RECO_flux","Daily_resi_temp","Daily_EF","Total_Randunc","Daily_P"
"130",2019-11-19,11,2019,NA,0.311806784615385,0.45213603186901,0.254702230769231,-0.140329247253625,0.168009614606544,0.0444780913836598,0.0447083333333333
"131",2019-11-20,11,2019,0.505088398023503,0.682458857142857,0.351085940048584,0.282842428571429,0.331372917094273,0.297069855870407,0.0432867044226701,0.1878125
"132",2019-11-21,11,2019,0.397436766333398,0.360012644444444,0.249139264144802,0.286681888888889,0.110873380299643,0.522017442991929,0.0422797958046356,0.017875
"133",2019-11-23,11,2019,NA,-0.0978873,0.0898100038957107,0.3022175,-0.187697303895711,0.297619116998635,0.0407970636266542,0
"134",2019-11-24,11,2019,NA,0.0681672885714286,0.116657056688325,0.314380857142857,-0.048489768116896,0.291356211126534,0.0388473889824405,0.003625
"135",2019-11-26,11,2019,0.299898466571518,0.2963853,0.145322313179055,0.261686842105263,0.151062986820945,0.274448926847851,0.0429709791158617,0.0163333333333333
"136",2019-11-27,11,2019,NA,0.17870135,0.222461404758993,0.26603725,-0.0437600547589928,0.59244450473261,0.0393925756743685,0.1513125
"137",2019-11-28,11,2019,0.436813122721155,0.324016785714286,0.281869612044557,0.2713665,0.0421471736697288,0.259963953121013,0.0401533111030563,0.0912291666666667
"138",2019-11-29,11,2019,NA,0.263482913043478,0.33652179935734,0.276632130434783,-0.0730388863138615,0.310007454342154,0.0484371974173546,0.0435625
"139",2019-12-01,12,2019,NA,0.320900409090909,0.380796536395303,0.284116272727273,-0.0598961273043943,0.490492516852422,0.0389008690345223,0
"140",2019-12-25,12,2019,NA,0.117414666666667,0.191155531737054,0.195878,-0.0737408650703875,0.265853514840007,0.0455873545770462,0.0316458333333333
"141",2019-12-26,12,2019,NA,0.2213296,0.178289012367474,0.2179604,0.0430405876325261,0.223564417629934,0.0428431299271017,0.00116666666666667
"142",2020-01-06,1,2020,NA,-0.06309336,0.0659794408266764,0.05939146,-0.129072800826676,0.231482488915555,0.040873974431106,0
"143",2020-01-07,1,2020,0.227648561881437,0.1344412,0.0732009160919258,0.0882863166666667,0.0612402839080742,0.279516008222991,0.0392576838899662,0
"144",2020-01-09,1,2020,NA,0.12603821875,0.120833991489082,0.0733842625,0.00520422726091839,0.300458987086616,0.0372602334360952,0.00610416666666667
"145",2020-01-10,1,2020,NA,0.112574505882353,0.0674455887917706,0.0654610823529412,0.0451289170905824,0.208104023656165,0.0457725542853629,0.00825
"146",2020-01-11,1,2020,NA,0.0555875,0.118993619449696,0.102869333333333,-0.0634061194496957,0.35722128473279,0.0419334752179158,0.0363958333333333
"147",2020-01-13,1,2020,0.246522310272146,0.135911226470588,0.0949492559523096,0.149883529411765,0.0409619705182786,0.392861744681379,0.0397253196373365,0.000854166666666667
