"","Time","Month","Year","predicted_RECO","Daily_NEE","Daily_RECO_temp","Daily_RECO_flux","Daily_resi_temp","Daily_EF","Daily_TA","Total_Randunc","Mean_HH_P_ERA"
"1","2004-01-09",1,2004,NA,0.532363636363636,0.408169676167241,0.338711545454545,0.124193960196396,0.212271311515752,15.9654545454545,NA,NA
"2","2004-01-10",1,2004,NA,0.607230769230769,0.375154167094563,0.383561615384615,0.232076602136207,0.0892172447762929,15.3807692307692,NA,NA
"3","2004-01-11",1,2004,NA,0.296058823529412,0.341451562967513,0.379284176470588,-0.0453927394381016,0.449125530688203,15.0935294117647,NA,NA
"4","2004-01-12",1,2004,NA,0.089,0.273181225518383,0.294908857142857,-0.184181225518383,0.22848450640522,12.6514285714286,NA,NA
"5","2004-01-13",1,2004,NA,0.1265,0.263549898846709,0.2852805,-0.137049898846709,0.208174123786604,15.14,NA,NA
"6","2004-01-14",1,2004,0.451673093518494,0.36347619047619,0.214979774835815,0.235777142857143,0.148496415640375,0.561580604535732,13.8,0.0572033825156062,0.0447916666666667
"7","2004-01-15",1,2004,NA,0.197,0.126772402021117,0.111993,0.0702275979788833,0.248422513246546,8.4475,NA,NA
"8","2004-01-16",1,2004,NA,0.014,0.0891611245670905,0.098726,-0.0751611245670905,0.161232783012126,7.541,NA,NA
"9","2004-01-17",1,2004,NA,-0.132333333333333,0.0180371038193877,0.0387763333333333,-0.150370437152721,0.138706781320103,7.67166666666667,NA,NA
"10","2004-01-18",1,2004,NA,-0.0733076923076923,0.0037823338524975,0.0229256923076923,-0.0770900261601898,0.133215434409648,5.41061538461538,NA,NA
"11","2004-01-19",1,2004,NA,0.0145555555555556,0.013586550920849,0.00140822222222222,0.000969004634706512,0.155900212368265,6.03711111111111,NA,NA
"12","2004-01-21",1,2004,NA,0.058,0.0738778526588718,0.108147,-0.0158778526588718,0.261499329376094,9.015,NA,NA
"13","2004-01-22",1,2004,NA,-1.659,0.0627295319785426,0.105684,-1.72172953197854,0.775756905839527,7.476,NA,NA
"14","2004-01-24",1,2004,0.366561943112031,0.415428571428571,0.0983192978769201,0.209974714285714,0.317109273551651,0.513458821529192,7.57242857142857,0.139537779347767,0.045875
"15","2004-01-25",1,2004,0.554652712553246,0.335434782608696,0.248672711143528,0.202073086956522,0.0867620714651673,0.455898516333552,6.21773913043478,0.0666007210397256,0.06
"16","2004-01-26",1,2004,NA,0.136,0.181149335584437,0.186943571428571,-0.045149335584437,0.291129115711501,4.21957142857143,NA,NA
"17","2004-01-27",1,2004,NA,-0.172,0.113470448378235,0.19355425,-0.285470448378235,0.285456965540577,3.4175,NA,NA
"18","2004-01-28",1,2004,NA,0.045,0.0841160512386181,0.229942,-0.0391160512386181,0.220753065472215,5.7226,NA,NA
"19","2004-01-29",1,2004,NA,0.2495,0.0472820889939925,0.18918125,0.202217911006008,0.155987832088018,3.672,NA,NA
"20","2004-01-30",1,2004,NA,-0.0440909090909091,0.0155520803483947,0.196614363636364,-0.0596429894393037,0.240471738460376,4.51536363636364,NA,NA
"21","2004-01-31",1,2004,NA,0.06725,0.0599641664195024,0.3066615,0.00728583358049758,0.199456922047349,10.83,NA,NA
"22","2004-02-01",2,2004,NA,0.0558,0.118533894298925,0.1518278,-0.0627338942989254,0.251698780941289,2.8666,NA,NA
"23","2004-02-02",2,2004,NA,-0.0217,0.127369657656975,0.163551,-0.149069657656975,0.164713695867379,3.8641,NA,NA
"24","2004-02-03",2,2004,NA,0.338785714285714,0.270107657484977,0.199120142857143,0.0686780568007375,0.232586707015246,7.13992857142857,NA,NA
"25","2004-02-04",2,2004,NA,-0.047,0.23691259689192,0.1609275,-0.28391259689192,0.288596523834841,4.9425,NA,NA
"26","2004-02-05",2,2004,NA,0.086,0.253876839635953,0.160264,-0.167876839635953,0.248400774410753,6.416,NA,NA
"27","2004-02-06",2,2004,NA,-0.00766666666666667,0.123499569600821,0.097712,-0.131166236267487,0.163130683445204,1.195,NA,NA
"28","2004-02-07",2,2004,NA,0.221416666666667,0.0931174513484472,0.133639833333333,0.12829921531822,0.167048845203404,6.41883333333333,NA,NA
"29","2004-02-08",2,2004,NA,0.00321428571428571,0.0312498170126988,0.0874615714285714,-0.0280355312984131,0.118325635758973,3.01364285714286,NA,NA
"30","2004-02-10",2,2004,NA,-0.119375,0.0353531381496374,0.061240375,-0.154728138149637,0.0806866097314643,2.99925,NA,NA
"31","2004-02-11",2,2004,NA,0.1912,0.0448631246952997,0.0424002,0.1463368753047,0.0782101012265332,2.4114,NA,NA
"32","2004-02-12",2,2004,NA,0.0265384615384615,0.0734772191590135,0.0275586923076923,-0.046938757620552,0.0613300050317693,2.99338461538462,NA,NA
"33","2004-02-13",2,2004,NA,0.049,0.0614643840446409,0.0103014,-0.0124643840446409,0.082418734353869,0.4456,NA,NA
"34","2004-02-15",2,2004,NA,-0.0264,0.0605366004861136,0.0760892,-0.0869366004861136,0.0774482447614685,6.5854,NA,NA
"35","2004-02-16",2,2004,NA,-0.0457222222222222,0.0615381036659178,0.0955887222222222,-0.10726032588814,0.0699967252526739,6.81711111111111,NA,NA
"36","2004-02-17",2,2004,NA,0.126571428571429,0.22428115507963,0.267042714285714,-0.0977097265082018,0.0704681493533522,15.0378571428571,NA,NA
"37","2004-02-18",2,2004,NA,0.384153846153846,0.437429474064944,0.383332076923077,-0.0532756279110978,0.166616296232622,19.2607692307692,NA,NA
"38","2004-02-19",2,2004,NA,0.660066666666667,0.359662012316557,0.2521492,0.30040465435011,0.047467644702758,11.3988666666667,NA,NA
"39","2004-02-20",2,2004,NA,0.147333333333333,0.245992044985031,0.288233333333333,-0.0986587116516982,0.132625147043111,12.1333333333333,NA,NA
"40","2004-02-21",2,2004,NA,0.060625,0.223920025300097,0.280532875,-0.163295025300097,0.0623268199327341,11.685,NA,NA
"41","2004-02-22",2,2004,NA,0.146166666666667,0.194073632618254,0.25541475,-0.0479069659515872,0.109875745382086,10.9425833333333,NA,NA
"42","2004-02-23",2,2004,NA,0.169375,0.158557085720431,0.21117675,0.0108179142795691,0.355095810279922,8.5191875,NA,NA
"43","2004-02-24",2,2004,0.399662623518753,0.25,0.133017561368537,0.157502,0.116982438631463,0.515895594511287,5.4395,0.0842057241002653,0.0291666666666667
"44","2004-02-25",2,2004,NA,0.124666666666667,0.0972500436017414,0.137760333333333,0.0274166230649252,0.29854643379216,3.91855555555556,NA,NA
"45","2004-02-26",2,2004,NA,0.022,0.186322751515355,0.219858666666667,-0.164322751515355,0.215128680367445,10.071,NA,NA
"46","2004-02-27",2,2004,NA,-0.128,0.148553713606075,0.203559,-0.276553713606075,0.265509066120029,9.165,NA,NA
"47","2004-02-28",2,2004,0.463964026464074,0.681,0.149643536186802,0.156488333333333,0.531356463813198,0.443176875673938,5.97833333333333,0.186812776128936,0.0296666666666667
"48","2004-02-29",2,2004,NA,0.0478,0.120831736082496,0.1361484,-0.0730317360824956,0.221917916356316,4.191,NA,NA
"49","2004-03-01",3,2004,NA,0.0262,0.0973368865150081,0.1500542,-0.0711368865150081,0.200211365983652,4.85593333333333,NA,NA
"50","2004-03-02",3,2004,NA,0.236,0.266048137977201,0.295357,-0.0300481379772005,0.201563544411282,11.78,NA,NA
"51","2004-03-05",3,2004,0.537836116045792,0.315736842105263,0.199570289682463,0.257955263157895,0.1161665524228,0.406653361765111,7.181,0.069530678438607,0.0227083333333333
"52","2004-03-06",3,2004,NA,0.0607857142857143,0.16728163292318,0.219503,-0.106495918637466,0.289697920024849,5.24535714285714,NA,NA
"53","2004-03-07",3,2004,NA,0.5416,0.494973325820251,0.5632722,0.0466266741797491,0.280043718170141,19.802,NA,NA
"54","2004-03-08",3,2004,NA,0.5581,0.423315469496281,0.5427224,0.134784530503719,0.211582095074919,19.2805,NA,NA
"55","2004-03-09",3,2004,NA,0.4484375,0.519019258741524,0.575598625,-0.0705817587415244,0.168618260660255,21.363125,NA,NA
"56","2004-03-10",3,2004,NA,0.68225,0.540008338266628,0.52041325,0.142241661733372,0.16629703429605,20.4475,NA,NA
"57","2004-03-11",3,2004,0.887636323516669,0.714714285714286,0.433758295454043,0.394160357142857,0.280955990260243,0.230311553839804,15.7614285714286,0.13421800867605,0.0485416666666667
"58","2004-03-12",3,2004,NA,0.231090909090909,0.342174364266497,0.332077818181818,-0.111083455175588,0.146183528610563,13.47,NA,NA
"59","2004-03-13",3,2004,0.614335968019719,0.807333333333333,0.265138049909778,0.279004,0.542195283423556,0.389978782484828,12.3166666666667,0.182800439858771,0.0609583333333333
"60","2004-03-14",3,2004,NA,0.45,0.261528684962902,0.250174,0.188471315037097,0.276147418588361,12.34,NA,NA
"61","2004-03-15",3,2004,NA,0.1685625,0.237117012574638,0.2451364375,-0.0685545125746378,0.193231282089687,13.301875,NA,NA
"62","2004-03-16",3,2004,NA,0.200538461538462,0.23642999343936,0.233393076923077,-0.0358915319008987,0.158221082246654,14.5715384615385,NA,NA
"63","2004-03-17",3,2004,NA,0.250052631578947,0.243608472142754,0.226352368421053,0.006444159436193,0.124496745668058,15.0906842105263,NA,NA
"64","2004-03-18",3,2004,NA,0.202470588235294,0.313615248071191,0.276238941176471,-0.111144659835896,0.160147481990749,14.9582352941176,NA,NA
"65","2004-03-19",3,2004,NA,0.190157894736842,0.447881927928072,0.370757052631579,-0.25772403319123,0.12728544093723,16.5784736842105,NA,NA
"66","2004-03-20",3,2004,NA,0.0418,0.620010707790031,0.543894,-0.578210707790031,0.154760463648832,20.946,NA,NA
"67","2004-03-21",3,2004,NA,0.945611111111111,0.717569441391071,0.579602666666667,0.22804166972004,0.0989529122537888,21.3433333333333,NA,NA
"68","2004-03-22",3,2004,NA,0.920333333333333,0.715122759281743,0.536295142857143,0.20521057405159,0.0917989903843248,19.1166666666667,NA,NA
"69","2004-03-23",3,2004,NA,0.37425,0.587852982349512,0.561921916666667,-0.213602982349512,0.194877125461298,19.5825,NA,NA
"70","2004-03-24",3,2004,NA,0.2352,0.493779619292471,0.586621,-0.258579619292471,0.188341884377844,19.886,NA,NA
"71","2004-03-25",3,2004,NA,0.568,0.321207855657525,0.518444,0.246792144342475,0.0945656669427391,18.21,NA,NA
"72","2004-03-26",3,2004,NA,0.278666666666667,0.276766383064389,0.44499925,0.00190028360227723,0.127670718756146,15.5566666666667,NA,NA
"73","2004-03-27",3,2004,NA,0.1882,0.233077492008972,0.3026612,-0.044877492008972,0.120831636529507,9.908,NA,NA
"74","2004-03-28",3,2004,NA,0.0994705882352941,0.395195085684669,0.405644529411765,-0.295724497449375,0.122941818475398,14.7152941176471,NA,NA
"75","2004-03-29",3,2004,NA,0.667863636363636,0.617392670924786,0.565095636363636,0.0504709654388508,0.100491279587901,20.4872727272727,NA,NA
"76","2004-03-30",3,2004,NA,0.8285,0.818197134879612,0.629708666666667,0.0103028651203885,0.159946715144115,20.9877777777778,NA,NA
"77","2004-03-31",3,2004,NA,0.5942,1.17530102063582,0.6088406,-0.581101020635818,0.179698187611625,17.442,NA,NA
"78","2004-04-01",4,2004,NA,0.411363636363636,0.84887266583993,0.587218454545455,-0.437509029476294,0.299065375842059,16.1409090909091,NA,NA
